Date,Open,High,Low,Close,Volume,Label
2008-01-02,619.0399780273438,630.47998046875,617.6799926757812,627.760009765625,554875,0
2008-01-03,629.0399780273438,632.719970703125,622.3200073242188,626.9600219726562,626013,-1
2008-01-04,621.5999755859375,622.47998046875,613.6799926757812,618.47998046875,518175,-1
2008-01-07,616.5599975585938,616.5599975585938,597.3599853515625,604.0,549188,1
2008-01-08,613.6799926757812,616.5599975585938,606.1599731445312,608.47998046875,325600,0
2008-01-09,605.2000122070312,618.1599731445312,602.0,602.0,617450,1
2008-01-10,592.9600219726562,597.280029296875,588.0800170898438,592.1599731445312,550363,-1
2008-01-11,586.9600219726562,589.9199829101562,582.0,584.719970703125,396738,-1
2008-01-14,592.5599975585938,595.760009765625,587.2000122070312,594.0,279813,0
2008-01-15,584.3200073242188,585.3599853515625,576.0800170898438,582.239990234375,613575,0
2008-01-16,576.6400146484375,578.4000244140625,563.9199829101562,574.7999877929688,518863,1
2008-01-17,578.0800170898438,580.47998046875,564.47998046875,568.239990234375,516425,-1
2008-01-18,572.239990234375,575.1199951171875,565.6799926757812,572.3200073242188,276613,-1
2008-01-22,555.5999755859375,568.3200073242188,552.7999877929688,564.4000244140625,578038,0
2008-01-23,555.5999755859375,560.6400146484375,549.0399780273438,556.0,663213,-1
2008-01-24,558.0,569.3599853515625,552.0800170898438,567.4400024414062,627675,1
2008-01-25,576.0,579.6799926757812,568.8800048828125,575.280029296875,630425,1
2008-01-28,569.0399780273438,579.760009765625,563.2000122070312,578.7999877929688,394488,-1
2008-01-29,573.0399780273438,583.8400268554688,573.0399780273438,583.8400268554688,223888,-1
2008-01-30,585.1199951171875,587.4400024414062,578.9600219726562,584.6400146484375,333288,1
2008-01-31,574.5599975585938,585.5999755859375,568.5599975585938,578.7999877929688,318013,1
2008-02-01,577.3599853515625,578.0,561.3599853515625,563.760009765625,419725,1
2008-02-04,565.2000122070312,576.4000244140625,562.7999877929688,570.9600219726562,417875,-1
2008-02-05,563.4400024414062,564.1599731445312,555.4400024414062,561.2000122070312,670988,0
2008-02-06,563.8400268554688,564.0,550.0,552.1599731445312,509738,1
2008-02-07,548.9600219726562,560.5599975585938,548.5599975585938,558.4000244140625,408625,1
2008-02-08,566.239990234375,583.2000122070312,565.280029296875,583.2000122070312,834775,1
2008-02-11,581.3599853515625,600.719970703125,576.7999877929688,596.4000244140625,627388,-1
2008-02-12,589.52001953125,597.1199951171875,585.760009765625,588.719970703125,318975,-1
2008-02-13,586.4000244140625,596.239990234375,584.0,592.8800048828125,277500,0
2008-02-14,598.9600219726562,606.9600219726562,597.9199829101562,606.0800170898438,328275,1
2008-02-15,611.52001953125,612.7999877929688,600.239990234375,607.4400024414062,419900,-1
2008-02-19,623.6799926757812,633.280029296875,619.3599853515625,630.47998046875,535713,0
2008-02-20,625.1199951171875,639.1199951171875,621.760009765625,634.5599975585938,475800,0
2008-02-21,627.5999755859375,634.1599731445312,614.8800048828125,618.6400146484375,765400,-1
2008-02-22,627.0399780273438,630.0800170898438,617.1199951171875,628.7999877929688,576300,1
2008-02-25,626.8800048828125,632.6400146484375,620.6400146484375,629.9199829101562,324800,-1
2008-02-26,628.4000244140625,642.239990234375,626.719970703125,640.7999877929688,532413,-1
2008-02-27,639.280029296875,642.8800048828125,631.3599853515625,631.3599853515625,467175,-1
2008-02-28,637.9199829101562,653.6799926757812,636.8800048828125,651.8400268554688,407750,1
2008-02-29,649.0399780273438,651.8400268554688,643.3599853515625,643.3599853515625,389638,0
