Date,Close,Label,Open,High,Low,Volume
2008-01-09,602.0,-1,605.2000122070312,618.1599731445312,602.0,617450
2008-01-10,592.1599731445312,-1,592.9600219726562,597.280029296875,588.0800170898438,550363
2008-01-11,584.719970703125,-1,586.9600219726562,589.9199829101562,582.0,396738
2008-01-14,594.0,-1,592.5599975585938,595.760009765625,587.2000122070312,279813
2008-01-15,582.239990234375,-1,584.3200073242188,585.3599853515625,576.0800170898438,613575
2008-01-16,574.7999877929688,-1,576.6400146484375,578.4000244140625,563.9199829101562,518863
2008-01-17,568.239990234375,-1,578.0800170898438,580.47998046875,564.47998046875,516425
2008-01-18,572.3200073242188,-1,572.239990234375,575.1199951171875,565.6799926757812,276613
2008-01-22,564.4000244140625,1,555.5999755859375,568.3200073242188,552.7999877929688,578038
2008-01-23,556.0,1,555.5999755859375,560.6400146484375,549.0399780273438,663213
2008-01-24,567.4400024414062,1,558.0,569.3599853515625,552.0800170898438,627675
2008-01-25,575.280029296875,0,576.0,579.6799926757812,568.8800048828125,630425
2008-01-28,578.7999877929688,-1,569.0399780273438,579.760009765625,563.2000122070312,394488
2008-01-29,583.8400268554688,-1,573.0399780273438,583.8400268554688,573.0399780273438,223888
2008-01-30,584.6400146484375,-1,585.1199951171875,587.4400024414062,578.9600219726562,333288
2008-01-31,578.7999877929688,-1,574.5599975585938,585.5999755859375,568.5599975585938,318013
2008-02-01,563.760009765625,1,577.3599853515625,578.0,561.3599853515625,419725
2008-02-04,570.9600219726562,-1,565.2000122070312,576.4000244140625,562.7999877929688,417875
2008-02-05,561.2000122070312,1,563.4400024414062,564.1599731445312,555.4400024414062,670988
2008-02-06,552.1599731445312,1,563.8400268554688,564.0,550.0,509738
2008-02-07,558.4000244140625,1,548.9600219726562,560.5599975585938,548.5599975585938,408625
2008-02-08,583.2000122070312,1,566.239990234375,583.2000122070312,565.280029296875,834775
2008-02-11,596.4000244140625,0,581.3599853515625,600.719970703125,576.7999877929688,627388
2008-02-12,588.719970703125,1,589.52001953125,597.1199951171875,585.760009765625,318975
2008-02-13,592.8800048828125,1,586.4000244140625,596.239990234375,584.0,277500
2008-02-14,606.0800170898438,1,598.9600219726562,606.9600219726562,597.9199829101562,328275
2008-02-15,607.4400024414062,1,611.52001953125,612.7999877929688,600.239990234375,419900
2008-02-19,630.47998046875,-1,623.6799926757812,633.280029296875,619.3599853515625,535713
2008-02-20,634.5599975585938,0,625.1199951171875,639.1199951171875,621.760009765625,475800
2008-02-21,618.6400146484375,1,627.5999755859375,634.1599731445312,614.8800048828125,765400
2008-02-22,628.7999877929688,1,627.0399780273438,630.0800170898438,617.1199951171875,576300
2008-02-25,629.9199829101562,1,626.8800048828125,632.6400146484375,620.6400146484375,324800
2008-02-26,640.7999877929688,0,628.4000244140625,642.239990234375,626.719970703125,532413
2008-02-27,631.3599853515625,1,639.280029296875,642.8800048828125,631.3599853515625,467175
2008-02-28,651.8400268554688,-1,637.9199829101562,653.6799926757812,636.8800048828125,407750
2008-02-29,643.3599853515625,1,649.0399780273438,651.8400268554688,643.3599853515625,389638
2008-03-03,650.5599975585938,1,651.8400268554688,659.8400268554688,644.8800048828125,630563
2008-03-04,635.2000122070312,1,653.8400268554688,656.0,628.0,773688
2008-03-05,666.4000244140625,1,643.9199829101562,666.4000244140625,642.6400146484375,946075
2008-03-06,671.1199951171875,0,662.3200073242188,671.1199951171875,653.0399780273438,712688
2008-03-07,669.8400268554688,1,666.47998046875,676.239990234375,660.239990234375,673200
2008-03-10,685.0399780273438,0,664.5599975585938,685.0399780273438,660.239990234375,767475
2008-03-11,690.719970703125,0,684.0,690.719970703125,674.3200073242188,1223838
2008-03-12,695.3599853515625,-1,688.0800170898438,696.0800170898438,678.0,1155763
2008-03-13,697.6799926757812,-1,696.1599731445312,702.3200073242188,687.8400268554688,962188
2008-03-14,692.0800170898438,-1,695.9199829101562,702.0800170898438,688.47998046875,1072550
2008-03-17,666.4000244140625,1,671.3599853515625,686.7999877929688,651.8400268554688,1455100
2008-03-18,686.4000244140625,-1,678.239990234375,696.3200073242188,673.52001953125,1083463
2008-03-19,658.3200073242188,0,676.5599975585938,688.0,654.47998046875,1368825
2008-03-20,650.4000244140625,1,637.5999755859375,655.6799926757812,636.719970703125,1468475
2008-03-24,642.0800170898438,1,647.6799926757812,656.1599731445312,640.6400146484375,531513
2008-03-25,651.760009765625,1,646.0,652.9600219726562,635.2000122070312,592575
