Date,Open,High,Low,Close,Volume
2008-01-02,112.03437291618152,112.38608631381125,110.00823214707178,110.81103515625,204935600
2008-01-03,110.79573881219311,111.23919840614887,110.15349181402769,110.75750732421875,125133300
2008-01-04,109.59531531839795,109.67177827869217,107.73738438266759,108.043212890625,232330900
2008-01-07,108.4255530981596,108.74667667584878,107.11812222232614,107.9515151977539,234991000
2008-01-08,108.631994832047,109.25894706083426,105.84891213364493,106.20826721191406,326365700
2008-01-09,106.34586606997328,107.6456550737629,105.28309597276372,107.32453155517578,301824900
2008-01-10,106.79695206798158,109.18245905571604,106.55993319525602,108.0279312133789,335701200
2008-01-11,107.63800209556533,108.49433138819336,106.2770451840908,107.15631103515625,267076600
2008-01-14,107.9285327093949,108.46373844448169,107.3474421970635,108.02027893066406,170365500
2008-01-15,106.88106934795844,108.18086998690809,105.43600771597785,105.64244842529297,239940100
2008-01-16,105.02315798453697,106.36882033399839,104.19740665647606,104.73261260986328,378802600
2008-01-17,105.36716439262788,105.42069079397993,101.63599622026427,102.0182876586914,397892600
2008-01-18,103.01992919088698,103.23401152160325,100.23684722496351,100.97084045410156,348561500
2008-01-22,97.26263826564117,101.25375808385037,96.3374931976291,99.94632720947266,435923700
2008-01-23,97.17086095051768,102.59940549149232,96.97971518029479,102.34709167480469,511913000
2008-01-24,102.82114519031603,103.57044512424453,101.92658424873731,103.21109008789062,259949300
2008-01-25,104.37323522194724,104.56438099775474,101.38372415494328,101.72013092041016,269603900
2008-01-28,101.88837634431816,103.61634223831362,100.9708786277153,103.40225982666016,217934600
2008-01-29,104.05973947852988,104.32733649902094,103.12694738818055,103.91446685791016,168968300
2008-01-30,103.66219459044116,105.9253543932025,102.91290629988232,103.1499252319336,334939200
2008-01-31,101.99538112958466,105.92533780679288,101.84246684252297,105.03077697753906,343680800
2008-02-01,105.4665965505694,106.7434489502144,105.1454730428694,106.72051239013672,206843600
2008-02-04,106.43762515039974,106.50643483372228,105.23722400824585,105.3748550415039,124694300
2008-02-05,103.93744447755039,104.17446340837174,102.20183730677365,102.55355072021484,286882500
2008-02-06,102.8975866889384,103.40985592457882,101.23844289590893,101.72777557373047,250792900
2008-02-07,100.77204274558864,103.05813847192186,100.71851633507781,102.40059661865234,297368100
2008-02-08,101.75837103195354,102.62235374513375,101.00144116224506,101.74308776855469,221643500
2008-02-11,101.76601090249822,102.62998183506636,100.95554305137979,102.26298522949219,188576300
2008-02-12,103.14992203206297,104.22033384251263,102.43885359135349,103.21109008789062,256654400
