Date,Open,High,Low,Close,Volume,GDP,PAYEMS,DTB1YR,DTB6,DTB3,DGS3MO,DGS1MO,CPIAUCSL,BOGMBASE,TEDRATE
2008-01-25,576.0,579.6799926757812,568.8800048828125,575.280029296875,630425,14080.8,138495.0,1.37,2.19,2.16,2.21,2.07,211.16,3201482.0,0.19
2008-01-28,569.0399780273438,579.760009765625,563.2000122070312,578.7999877929688,394488,14080.8,138495.0,1.37,2.41,2.32,2.37,2.19,211.16,3201482.0,0.19
2008-01-29,573.0399780273438,583.8400268554688,573.0399780273438,583.8400268554688,223888,14080.8,138495.0,1.37,2.34,2.25,2.3,2.07,211.16,3201482.0,0.19
2008-01-30,585.1199951171875,587.4400024414062,578.9600219726562,584.6400146484375,333288,14080.8,138495.0,1.37,2.29,2.29,2.34,2.12,211.16,3201482.0,0.19
2008-01-31,574.5599975585938,585.5999755859375,568.5599975585938,578.7999877929688,318013,14080.8,138495.0,1.37,2.29,2.23,2.28,2.13,211.16,3201482.0,0.19
2008-02-01,577.3599853515625,578.0,561.3599853515625,563.760009765625,419725,14080.8,138102.0,1.37,2.23,2.16,2.21,1.93,211.16,3201482.0,0.19
2008-02-04,565.2000122070312,576.4000244140625,562.7999877929688,570.9600219726562,417875,14080.8,138102.0,1.37,2.02,1.92,1.96,1.64,211.16,3201482.0,0.19
2008-02-05,563.4400024414062,564.1599731445312,555.4400024414062,561.2000122070312,670988,14080.8,138102.0,1.37,2.09,2.06,2.1,1.75,211.16,3201482.0,0.19
2008-02-06,563.8400268554688,564.0,550.0,552.1599731445312,509738,14080.8,138102.0,1.37,2.16,2.22,2.27,2.15,211.16,3201482.0,0.19
2008-02-07,548.9600219726562,560.5599975585938,548.5599975585938,558.4000244140625,408625,14080.8,138102.0,1.37,2.07,2.14,2.19,2.22,211.16,3201482.0,0.19
2008-02-08,566.239990234375,583.2000122070312,565.280029296875,583.2000122070312,834775,14080.8,138102.0,1.37,2.04,2.05,2.1,2.12,211.16,3201482.0,0.19
2008-02-11,581.3599853515625,600.719970703125,576.7999877929688,596.4000244140625,627388,14080.8,138102.0,1.37,2.07,2.12,2.17,2.19,211.16,3201482.0,0.19
2008-02-12,589.52001953125,597.1199951171875,585.760009765625,588.719970703125,318975,14080.8,138102.0,1.37,2.06,2.18,2.23,2.24,211.16,3201482.0,0.19
2008-02-13,586.4000244140625,596.239990234375,584.0,592.8800048828125,277500,14080.8,138102.0,1.37,2.07,2.25,2.31,2.35,211.16,3201482.0,0.19
2008-02-14,598.9600219726562,606.9600219726562,597.9199829101562,606.0800170898438,328275,14080.8,138102.0,1.37,2.06,2.25,2.31,2.55,211.16,3201482.0,0.19
2008-02-15,611.52001953125,612.7999877929688,600.239990234375,607.4400024414062,419900,14080.8,138102.0,1.37,2.04,2.22,2.28,2.5,211.16,3201482.0,0.19
2008-02-19,623.6799926757812,633.280029296875,619.3599853515625,630.47998046875,535713,14080.8,138102.0,1.37,2.06,2.26,2.31,2.5,211.16,3201482.0,0.19
2008-02-20,625.1199951171875,639.1199951171875,621.760009765625,634.5599975585938,475800,14080.8,138102.0,1.37,2.02,2.16,2.21,2.4,212.516,3201482.0,0.19
2008-02-21,627.5999755859375,634.1599731445312,614.8800048828125,618.6400146484375,765400,14080.8,138102.0,1.37,2.08,2.23,2.28,2.37,212.516,3201482.0,0.19
2008-02-22,627.0399780273438,630.0800170898438,617.1199951171875,628.7999877929688,576300,14080.8,138102.0,1.37,2.11,2.2,2.25,2.4,212.516,3201482.0,0.19
2008-02-25,626.8800048828125,632.6400146484375,620.6400146484375,629.9199829101562,324800,14080.8,138102.0,1.37,2.04,2.15,2.2,2.35,212.516,3201482.0,0.19
2008-02-26,628.4000244140625,642.239990234375,626.719970703125,640.7999877929688,532413,14080.8,138102.0,1.37,2.08,2.15,2.2,2.33,212.516,3201482.0,0.19
