Date,Close,Label,Open,High,Low,Volume,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-01-02,134.6864776611328,1,134.47020738388545,135.19766331644652,134.35224723266663,11034100,1,0,0,0,51.0,134.6864776611328,6869.010360717773,1,0.0,0.0,0.0,10000.0,0.0
2020-01-03,136.7606658935547,-1,135.92509000217896,136.7999959355112,135.54170459319104,12366000,0,0,0,1,51.0,134.6864776611328,6869.010360717773,2,105.78359985351562,0.02,105.78359985351562,10105.783599853516,0.010578359985351504
2020-01-06,135.98406982421875,0,137.3210062480677,137.34067126901112,135.80711463575994,11369800,0,0,0,0,0.0,135.98406982421875,0.0,0,0.0,0.0,105.78359985351562,10105.783599853516,0.0
2020-01-07,135.31558227539062,0,135.87592282314176,136.1216830633804,135.30575726578635,8381200,0,0,0,0,0.0,135.31558227539062,0.0,0,0.0,0.0,105.78359985351562,10105.783599853516,0.0
2020-01-08,134.42103576660156,1,135.5908419916304,135.96440238282534,134.00816033423567,10621700,1,0,0,0,52.0,134.42103576660156,6989.893859863281,1,0.0,0.0,105.78359985351562,10105.783599853516,0.0
2020-01-09,134.89291381835938,1,133.69360236187637,135.10918408100505,133.6051322544354,7411500,0,0,0,0,52.0,134.42103576660156,6989.893859863281,2,0.0,0.0,105.78359985351562,10130.321258544922,0.002428080756821549
2020-01-10,136.09217834472656,1,135.33523268649233,136.12166837037086,135.2959176523043,8776000,0,0,0,0,52.0,134.42103576660156,6989.893859863281,3,0.0,0.0,105.78359985351562,10192.683013916016,0.006155950416527167
2020-01-13,135.67933654785156,1,135.54171139413032,135.7481416247038,135.06001585609758,5966900,0,0,0,0,52.0,134.42103576660156,6989.893859863281,4,0.0,0.0,105.78359985351562,10171.215240478516,-0.0021061945523264125
2020-01-14,136.37730407714844,0,135.83662840683235,136.46578918685006,135.79731335809055,13920300,0,0,0,0,52.0,134.42103576660156,6989.893859863281,5,0.0,0.0,105.78359985351562,10207.509552001953,0.003568335805046896
2020-01-15,137.28167724609375,-1,137.15389210903348,137.3898123620777,136.66237158183657,6290500,0,0,0,1,52.0,134.42103576660156,6989.893859863281,6,148.75335693359375,0.02,254.53695678710938,10254.53695678711,0.004607137965002783
2020-01-16,136.84912109375,-1,136.89826113543717,137.16368636060636,136.38709070179394,6798600,0,0,1,0,-52.0,136.84912109375,7116.154296875,1,0.0,0.0,254.53695678710938,10254.53695678711,0.0
2020-01-17,135.67933654785156,1,135.24679606472287,135.79729667960785,135.0305258231585,9693100,0,1,0,0,-52.0,136.84912109375,7116.154296875,2,60.82879638671875,0.01,315.3657531738281,10315.365753173828,0.005931891088115648
2020-01-21,137.104736328125,1,136.45592563566714,137.2816765169684,136.41661059370728,6794900,1,0,0,0,52.0,137.104736328125,7129.4462890625,1,0.0,0.0,315.3657531738281,10315.365753173828,0.0
2020-01-22,137.58644104003906,1,137.35050577245931,137.76338124071114,137.22270562751814,6317000,0,0,0,0,52.0,137.104736328125,7129.4462890625,2,0.0,0.0,315.3657531738281,10340.41439819336,0.002428284718050344
2020-01-23,138.54978942871094,1,138.46131934606504,138.98232983277612,138.39249928177557,9747400,0,0,0,0,52.0,137.104736328125,7129.4462890625,3,0.0,0.0,315.3657531738281,10390.508514404297,0.004844497936145498
2020-01-24,139.6704864501953,1,139.02167570021135,140.1325169842732,138.9037155638569,8585000,0,0,0,0,52.0,137.104736328125,7129.4462890625,4,0.0,0.0,315.3657531738281,10448.784759521484,0.00560860375951755
2020-01-27,141.84298706054688,1,141.50875670224048,141.84298706054688,141.0663912280095,10935200,0,0,0,0,52.0,137.104736328125,7129.4462890625,5,0.0,0.0,315.3657531738281,10561.754791259766,0.010811786665940959
2020-01-28,140.732177734375,1,141.4891086365378,141.64639882400715,140.39794733601602,10612900,0,0,0,0,52.0,137.104736328125,7129.4462890625,6,0.0,0.0,315.3657531738281,10503.992706298828,-0.005468985609165755
2020-01-29,142.1083984375,0,141.0073973649396,142.24602357157002,140.9975573553538,9566800,0,0,0,0,52.0,137.104736328125,7129.4462890625,7,0.0,0.0,315.3657531738281,10575.556182861328,0.006812978508599521
2020-01-30,142.12806701660156,-1,142.44263233092016,143.19957808727227,141.84297673173486,14711800,0,0,0,1,52.0,137.104736328125,7129.4462890625,8,261.21319580078125,0.04,576.5789489746094,10576.57894897461,9.67103853071194e-05
2020-01-31,143.42567443847656,-1,142.70805871579338,143.5141595275865,142.62941363659294,14538100,0,0,1,0,-51.0,143.42567443847656,7314.709396362305,1,0.0,0.0,576.5789489746094,10576.57894897461,0.0
2020-02-03,143.30947875976562,-1,142.72852457841532,143.52610828924136,141.9112431762907,15310700,0,0,0,0,-51.0,143.42567443847656,7314.709396362305,2,0.0,0.0,576.5789489746094,10582.504928588867,0.000560292665789941
2020-02-04,141.37954711914062,-1,141.7832672147457,141.93096235950932,140.8675122423961,11388300,0,0,0,0,-51.0,143.42567443847656,7314.709396362305,3,0.0,0.0,576.5789489746094,10680.931442260742,0.009300871044810366
2020-02-05,139.83358764648438,1,140.11915159869346,140.51301529664195,139.725272875808,10782600,0,1,0,0,-51.0,143.42567443847656,7314.709396362305,4,183.19642639160156,0.03,759.7753753662109,10759.775375366211,0.0073817469507866385
2020-02-06,140.4637908935547,1,140.0009927441733,140.6902768134227,139.82375857203826,6683100,1,0,0,0,53.0,140.4637908935547,7444.580917358398,1,0.0,0.0,759.7753753662109,10759.775375366211,0.0
2020-02-07,142.21649169921875,0,142.0097185250688,142.52175333119115,141.66507653490373,11374800,0,0,0,0,53.0,140.4637908935547,7444.580917358398,2,0.0,0.0,759.7753753662109,10852.668518066406,0.008633371930130362
2020-02-10,142.6103973388672,0,142.87626363792145,143.02395879020762,142.46268716164184,6699300,0,0,0,0,53.0,140.4637908935547,7444.580917358398,3,0.0,0.0,759.7753753662109,10873.545516967773,0.0019236742434924903
2020-02-11,141.8915557861328,0,142.3740365198639,142.5020489716386,141.73400431086174,7784100,0,0,0,0,53.0,140.4637908935547,7444.580917358398,4,0.0,0.0,759.7753753662109,10835.446914672852,-0.0035037883674161607
2020-02-12,141.1727294921875,1,141.1727294921875,141.34997865392995,140.79856352839394,5595500,0,0,0,0,53.0,140.4637908935547,7444.580917358398,5,0.0,0.0,759.7753753662109,10797.34912109375,-0.0035160334298266482
2020-02-13,141.7143096923828,1,141.24167028125913,141.9900172676163,141.07427746950566,7883400,0,0,0,0,53.0,140.4637908935547,7444.580917358398,6,0.0,0.0,759.7753753662109,10826.052871704102,0.0026584071968438483
2020-02-14,142.33465576171875,1,142.54142892560964,142.85653187526225,142.2361823337184,7137400,0,0,0,0,53.0,140.4637908935547,7444.580917358398,7,0.0,0.0,759.7753753662109,10858.931213378906,0.003036964816672816
2020-02-18,143.30947875976562,1,143.11254692158846,143.81167222579398,142.69898555393553,6909200,0,0,0,0,53.0,140.4637908935547,7444.580917358398,8,0.0,0.0,759.7753753662109,10910.59683227539,0.00475789171892238
2020-02-19,143.2996368408203,1,142.8959168079989,143.3882539138974,142.75806301934475,5707700,0,0,0,0,53.0,140.4637908935547,7444.580917358398,9,0.0,0.0,759.7753753662109,10910.075210571289,-4.780872321841212e-05
2020-02-20,144.42218017578125,1,143.84122593512092,144.68804644817777,143.76245018682056,9332900,0,0,0,0,53.0,140.4637908935547,7444.580917358398,10,0.0,0.0,759.7753753662109,10969.570007324219,0.005453197673218835
2020-02-21,145.7711944580078,1,145.53488221327888,146.59833238937685,145.38717203538403,13860300,0,0,0,0,53.0,140.4637908935547,7444.580917358398,11,0.0,0.0,759.7753753662109,11041.067764282227,0.006517826761693435
2020-02-24,147.94729614257812,1,148.5184089722772,148.64642142417364,147.7011275965838,15929300,0,0,0,0,53.0,140.4637908935547,7444.580917358398,12,0.0,0.0,759.7753753662109,11156.401153564453,0.010445854671350618
2020-02-25,148.7350311279297,1,147.90790846034062,149.43414134996277,147.83897405890738,20802900,0,0,0,0,53.0,140.4637908935547,7444.580917358398,13,0.0,0.0,759.7753753662109,11198.151107788086,0.0037422421127528693
2020-02-26,147.94729614257812,1,147.65189088239782,149.3947683950195,147.28756624230567,22589500,0,0,0,0,53.0,140.4637908935547,7444.580917358398,14,0.0,0.0,759.7753753662109,11156.401153564453,-0.003728289949096686
2020-02-27,149.55233764648438,1,150.35976276035106,150.73394380271762,148.51842662542876,30687900,0,0,0,0,53.0,140.4637908935547,7444.580917358398,15,0.0,0.0,759.7753753662109,11241.468353271484,0.007624967813195882
2020-02-28,152.9297637939453,1,152.08294329126585,153.5894937748213,151.79739435399676,45010800,0,0,0,0,53.0,140.4637908935547,7444.580917358398,16,0.0,0.0,759.7753753662109,11420.471939086914,0.015923505736982868
2020-03-02,151.8046112060547,1,153.1457464575823,154.32909755078302,151.62710026615554,28152400,0,0,0,0,53.0,140.4637908935547,7444.580917358398,17,0.0,0.0,759.7753753662109,11360.838851928711,-0.005221595699045234
2020-03-03,154.16146850585938,1,151.6764205001448,157.48471669902864,150.24653720038253,38608000,0,0,0,0,53.0,140.4637908935547,7444.580917358398,18,0.0,0.0,759.7753753662109,11485.75228881836,0.010995089228683419
2020-03-04,152.52447509765625,1,154.24034389996913,155.16730698694997,152.05113768730698,23463700,0,0,0,0,53.0,140.4637908935547,7444.580917358398,19,0.0,0.0,759.7753753662109,11398.991638183594,-0.007553762997242197
2020-03-05,156.32106018066406,1,154.95034246438863,156.61690167602265,154.63477419010653,17786200,0,0,0,0,53.0,140.4637908935547,7444.580917358398,20,0.0,0.0,759.7753753662109,11600.210647583008,0.017652351697968083
2020-03-06,164.45664978027344,1,164.97929666759018,166.98113626553,161.83354442879147,76288300,0,0,0,0,53.0,140.4637908935547,7444.580917358398,21,0.0,0.0,759.7753753662109,12031.396896362305,0.03717055335276509
2020-03-09,168.91390991210938,-1,176.61558457587165,177.20725252768793,167.9770910363908,41552800,0,0,0,1,53.0,140.4637908935547,7444.580917358398,22,1507.8563079833984,0.2,2267.6316833496094,12267.63168334961,0.019634859445018416
2020-03-10,160.25575256347656,-1,167.2868542612144,170.53121071816955,159.7824150510518,37728300,0,0,1,0,-53.0,160.25575256347656,8493.554885864258,1,0.0,0.0,2267.6316833496094,12267.63168334961,0.0
2020-03-11,154.35867309570312,0,163.13520960074834,164.71302101715247,153.4711635784288,29519300,0,0,0,0,-53.0,160.25575256347656,8493.554885864258,2,0.0,0.0,2267.6316833496094,12580.176895141602,0.02547722493300797
2020-03-12,155.31520080566406,-1,161.24182622579207,164.0522977830295,153.5007284202598,24361800,0,0,0,0,-53.0,160.25575256347656,8493.554885864258,3,0.0,0.0,2267.6316833496094,12529.480926513672,-0.004029829552516739
2020-03-13,151.8046112060547,1,152.84990492250074,156.00551285341115,150.07888647305873,19812900,0,1,0,0,-53.0,160.25575256347656,8493.554885864258,4,447.9104919433594,0.05,2715.5421752929688,12715.542175292969,0.014849876852086608
