Date,Open,High,Low,Close,Volume,Label,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-02-11,142.3740365198639,142.5020489716386,141.73400431086174,141.8915557861328,7784100,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,24,0.0,0.0,0.0,9611.532958984375,0.003904236747438894
2020-02-12,141.1727294921875,141.34997865392995,140.79856352839394,141.1727294921875,5595500,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,25,0.0,0.0,0.0,9648.911926269531,0.0038889704113449497
2020-02-13,141.24167028125913,141.9900172676163,141.07427746950566,141.7143096923828,7883400,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,26,0.0,0.0,0.0,9620.749755859375,-0.002918688721106899
2020-02-14,142.54142892560964,142.85653187526225,142.2361823337184,142.33465576171875,7137400,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,27,0.0,0.0,0.0,9588.491760253906,-0.0033529606760452912
2020-02-18,143.11254692158846,143.81167222579398,142.69898555393553,143.30947875976562,6909200,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,28,0.0,0.0,0.0,9537.800964355469,-0.005286628717621755
2020-02-19,142.8959168079989,143.3882539138974,142.75806301934475,143.2996368408203,5707700,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,29,0.0,0.0,0.0,9538.312744140625,5.3658048335236685e-05
2020-02-20,143.84122593512092,144.68804644817777,143.76245018682056,144.42218017578125,9332900,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,30,0.0,0.0,0.0,9479.940490722656,-0.0061197671940277365
2020-02-21,145.53488221327888,146.59833238937685,145.38717203538403,145.7711944580078,13860300,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,31,0.0,0.0,0.0,9409.791748046875,-0.007399702850923062
2020-02-24,148.5184089722772,148.64642142417364,147.7011275965838,147.94729614257812,15929300,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,32,0.0,0.0,0.0,9296.634460449219,-0.012025482670341092
2020-02-25,147.90790846034062,149.43414134996277,147.83897405890738,148.7350311279297,20802900,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,33,0.0,0.0,0.0,9255.672241210938,-0.004406134221211722
2020-02-26,147.65189088239782,149.3947683950195,147.28756624230567,147.94729614257812,22589500,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,34,0.0,0.0,0.0,9296.634460449219,0.004425634159331615
2020-02-27,150.35976276035106,150.73394380271762,148.51842662542876,149.55233764648438,30687900,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,35,0.0,0.0,0.0,9213.172302246094,-0.008977674507715583
2020-02-28,152.08294329126585,153.5894937748213,151.79739435399676,152.9297637939453,45010800,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,36,0.0,0.0,0.0,9037.546142578125,-0.019062506800741397
2020-03-02,153.1457464575823,154.32909755078302,151.62710026615554,151.8046112060547,28152400,-1,0,0,0,0,-52.0,134.42103576660156,6989.893859863281,37,0.0,0.0,0.0,9096.054077148438,0.006473873952871578
