Date,Close,Label,Open,High,Low,Volume,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-01-02,102.4800033569336,1,102.4000015258789,102.8000030517578,101.5999984741211,1563638,1,0,0,0,68.0,102.4800033569336,6968.640228271484,1,0.0,0.0,0.0,10000.0,0.0
2020-01-03,105.44000244140624,-1,106.16000366210938,106.55999755859376,104.23999786376952,4325450,0,0,0,1,68.0,102.4800033569336,6968.640228271484,2,201.27993774413966,0.03,201.27993774413966,10201.279937744139,0.020127993774413877
2020-01-06,105.27999877929688,-1,106.4000015258789,106.55999755859376,104.95999908447266,2598413,0,0,1,0,-67.0,105.27999877929688,7053.759918212891,1,0.0,0.0,201.27993774413966,10201.279937744139,0.0
2020-01-07,105.04000091552734,-1,104.8000030517578,105.44000244140624,104.08000183105467,1742075,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,2,0.0,0.0,201.27993774413966,10217.359794616697,0.0015762587607328626
2020-01-08,101.27999877929688,-1,104.4800033569336,104.55999755859376,99.12000274658205,6918425,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,3,0.0,0.0,201.27993774413966,10469.279937744139,0.024656090045901413
2020-01-09,99.91999816894533,0,99.5999984741211,100.31999969482422,98.31999969482422,3439450,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,4,0.0,0.0,201.27993774413966,10560.399978637692,0.008703563323877228
2020-01-10,99.27999877929688,0,99.44000244140624,99.83999633789062,98.72000122070312,2016750,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,5,0.0,0.0,201.27993774413966,10603.279937744139,0.004060448391461247
2020-01-13,97.5999984741211,0,98.4800033569336,98.4800033569336,97.27999877929688,2858525,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,6,0.0,0.0,201.27993774413966,10715.839958190916,0.010615585093259883
2020-01-14,98.23999786376952,0,98.16000366210938,98.55999755859376,97.5999984741211,2336713,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,7,0.0,0.0,201.27993774413966,10672.959999084473,-0.004001549040835273
2020-01-15,97.44000244140624,-1,97.5999984741211,97.76000213623048,96.4000015258789,1881763,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,8,0.0,0.0,201.27993774413966,10726.559692382812,0.005022008262275612
2020-01-16,98.31999969482422,-1,97.5999984741211,98.87999725341795,97.5999984741211,1960813,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,9,0.0,0.0,201.27993774413966,10667.599876403807,-0.005496619388681956
2020-01-17,98.63999938964844,-1,98.63999938964844,98.95999908447266,97.91999816894533,2220763,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,10,0.0,0.0,201.27993774413966,10646.159896850584,-0.0020098222469561167
2020-01-21,97.91999816894533,-1,97.76000213623048,98.72000122070312,97.68000030517578,1709638,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,11,0.0,0.0,201.27993774413966,10694.399978637692,0.004531218979848095
2020-01-22,95.1999969482422,-1,96.23999786376952,96.31999969482422,95.04000091552734,3196463,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,12,0.0,0.0,201.27993774413966,10876.640060424801,0.01704070187678952
2020-01-23,93.27999877929688,-1,92.8000030517578,93.68000030517578,92.0,3858525,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,13,0.0,0.0,201.27993774413966,11005.279937744139,0.011827170578844415
2020-01-24,91.44000244140624,-1,91.91999816894533,92.0,90.4800033569336,3051025,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,14,0.0,0.0,201.27993774413966,11128.559692382812,0.011201873585774846
2020-01-27,88.80000305175781,0,88.87999725341797,89.91999816894531,88.16000366210938,3142588,0,0,0,0,-67.0,105.27999877929688,7053.759918212891,15,0.0,0.0,201.27993774413966,11305.439651489256,0.01589423645069843
